#time Face1-InData Face2-InData Face3-InData
1 492  
2 500  
3 500  
4 500  
5 500  
6 500  
7 500  
8 500  
9 500  
10 500  
11 598  
12 599  
13 599  
14 558 40 
15 549 51 
16 547 52 
17 549 52 
18 548 52 
19 549 51 
20 547 53 
21 549 140 
22 549 153 
23 547 151 
24 549 151 
25 548 152 
26 548 152 
27 548 152 
28 549 151 
29 548 153 
30 548 151 
31 548 241 
32 549 252 
33 548 251 
34 548 252 
35 549 251 
36 547 253 
37 549 251 
38 548 252 
39 549 252 
40 547 252 
41 549 340 
42 548 353 
43 548 351 
44 549 351 
45 548 336 9
46 548 329 21
47 548 328 20
48 549 330 17
49 548 329 20
50 548 328 18
51 548 330 77
52 549 329 120
53 548 328 119
54 548 330 118
55 549 328 121
56 547 329 121
57 549 330 120
58 548 328 120
59 549 329 121
60 547 330 119
61 549 328 179
62 548 329 221
63 548 329 220
64 549 329 220
65 548 329 220
66 548 329 220
67 548 329 219
68 549 329 221
69 548 329 221
70 548 329 219
71 548 328 231
72 549 330 232
73 547 329 219
74 549 328 215
75 549 330 217
76 547 328 217
77 549 329 216
78 548 330 216
79 549 328 217
80 547 329 216
